,Corr.,ExtraTrees,KBest,Lasso,Linear reg,RF,RFE,Ridge,Stability,Mean
ft_01_isbn,0.0,0.0,0.02,0.0,0.0,0.0,0.56,0.12,0.0,0.08
ft_01_isbn,0.0,0.0,0.02,0.0,0.0,0.0,0.56,0.12,0.0,0.08
ft_01_isbn,0.0,0.0,0.02,0.0,0.0,0.0,0.56,0.12,0.0,0.08
ft_01_isbn,0.0,0.0,0.02,0.0,0.0,0.0,0.56,0.12,0.0,0.08
ft_01_isbn,0.0,0.0,0.02,0.0,0.0,0.0,0.56,0.12,0.0,0.08
ft_02_isbn_pubname,0.0,0.01,0.48,0.0,0.0,0.0,0.22,0.03,0.0,0.08
ft_02_isbn_pubname,0.0,0.01,0.48,0.0,0.0,0.0,0.22,0.03,0.0,0.08
ft_02_isbn_pubname,0.0,0.01,0.48,0.0,0.0,0.0,0.22,0.03,0.0,0.08
ft_02_isbn_pubname,0.0,0.01,0.48,0.0,0.0,0.0,0.22,0.03,0.0,0.08
ft_02_isbn_pubname,0.0,0.01,0.48,0.0,0.0,0.0,0.22,0.03,0.0,0.08
ft_03_isbn_countryname,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.09,0.0,0.08
ft_03_isbn_countryname,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.09,0.0,0.08
ft_03_isbn_countryname,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.09,0.0,0.08
ft_03_isbn_countryname,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.09,0.0,0.08
ft_03_isbn_countryname,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.09,0.0,0.08
ft_04_lccn,0.07,0.04,0.24,0.0,0.0,0.0,0.3,0.12,0.0,0.09
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_10_title,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.02,0.0,0.02
ft_11_statement_of_responsibility,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.0,0.04
ft_11_statement_of_responsibility,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.0,0.04
ft_11_statement_of_responsibility,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.0,0.04
ft_11_statement_of_responsibility,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.0,0.04
ft_11_statement_of_responsibility,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.0,0.04
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_12_publisher_place,0.0,0.01,0.26,0.0,0.05,0.0,0.79,0.05,0.0,0.13
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_13_publisher_name,0.01,0.0,0.04,0.0,0.31,0.0,1.0,0.04,0.0,0.16
ft_14_publication_date,0.04,0.0,0.21,0.0,0.0,0.0,0.36,0.16,0.0,0.09
ft_15_content_code,0.06,0.17,0.03,0.0,0.09,0.0,1.0,0.03,0.0,0.15
ft_15_content_code,0.06,0.17,0.03,0.0,0.09,0.0,1.0,0.03,0.0,0.15
ft_15_content_code,0.06,0.17,0.03,0.0,0.09,0.0,1.0,0.03,0.0,0.15
ft_16_content_type_term,0.0,0.03,0.73,0.0,0.07,0.0,1.0,0.02,0.0,0.21
ft_16_content_type_term,0.0,0.03,0.73,0.0,0.07,0.0,1.0,0.02,0.0,0.21
ft_16_content_type_term,0.0,0.03,0.73,0.0,0.07,0.0,1.0,0.02,0.0,0.21
ft_16_content_type_term,0.0,0.03,0.73,0.0,0.07,0.0,1.0,0.02,0.0,0.21
ft_16_content_type_term,0.0,0.03,0.73,0.0,0.07,0.0,1.0,0.02,0.0,0.21
ft_17_content_source,0.0,0.03,0.73,0.0,0.01,0.0,1.0,0.02,0.0,0.2
ft_17_content_source,0.0,0.03,0.73,0.0,0.01,0.0,1.0,0.02,0.0,0.2
ft_17_content_source,0.0,0.03,0.73,0.0,0.01,0.0,1.0,0.02,0.0,0.2
ft_17_content_source,0.0,0.03,0.73,0.0,0.01,0.0,1.0,0.02,0.0,0.2
ft_17_content_source,0.0,0.03,0.73,0.0,0.01,0.0,1.0,0.02,0.0,0.2
ft_18_media_code,0.06,0.0,0.25,0.0,0.04,0.0,1.0,0.04,0.0,0.15
ft_19_media_type_term,0.06,0.2,0.26,0.0,0.14,0.0,0.98,0.07,0.0,0.19
ft_19_media_type_term,0.06,0.2,0.26,0.0,0.14,0.0,0.98,0.07,0.0,0.19
ft_19_media_type_term,0.06,0.2,0.26,0.0,0.14,0.0,0.98,0.07,0.0,0.19
ft_19_media_type_term,0.06,0.2,0.26,0.0,0.14,0.0,0.98,0.07,0.0,0.19
ft_19_media_type_term,0.06,0.2,0.26,0.0,0.14,0.0,0.98,0.07,0.0,0.19
ft_20_media_source,0.0,0.32,0.73,0.0,0.0,0.0,0.96,0.02,0.0,0.23
ft_20_media_source,0.0,0.32,0.73,0.0,0.0,0.0,0.96,0.02,0.0,0.23
ft_20_media_source,0.0,0.32,0.73,0.0,0.0,0.0,0.96,0.02,0.0,0.23
ft_20_media_source,0.0,0.32,0.73,0.0,0.0,0.0,0.96,0.02,0.0,0.23
ft_20_media_source,0.0,0.32,0.73,0.0,0.0,0.0,0.96,0.02,0.0,0.23
ft_21_carrier_code,0.07,0.01,0.26,0.0,0.03,0.0,0.89,0.02,0.0,0.14
ft_21_carrier_code,0.07,0.01,0.26,0.0,0.03,0.0,0.89,0.02,0.0,0.14
ft_21_carrier_code,0.07,0.01,0.26,0.0,0.03,0.0,0.89,0.02,0.0,0.14
ft_21_carrier_code,0.07,0.01,0.26,0.0,0.03,0.0,0.89,0.02,0.0,0.14
ft_22_topical_term,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.09,0.0,0.07
ft_22_topical_term,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.09,0.0,0.07
ft_22_topical_term,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.09,0.0,0.07
ft_22_topical_term,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.09,0.0,0.07
ft_22_topical_term,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.09,0.0,0.07
ft_23_form_subdivision,0.01,0.01,0.13,0.0,0.0,0.0,0.39,0.05,0.0,0.07
ft_23_form_subdivision,0.01,0.01,0.13,0.0,0.0,0.0,0.39,0.05,0.0,0.07
ft_23_form_subdivision,0.01,0.01,0.13,0.0,0.0,0.0,0.39,0.05,0.0,0.07
ft_23_form_subdivision,0.01,0.01,0.13,0.0,0.0,0.0,0.39,0.05,0.0,0.07
ft_23_form_subdivision,0.01,0.01,0.13,0.0,0.0,0.0,0.39,0.05,0.0,0.07
ft_24_heading_source,0.0,0.0,0.01,0.0,0.0,0.0,0.26,0.02,0.0,0.03
ft_24_heading_source,0.0,0.0,0.01,0.0,0.0,0.0,0.26,0.02,0.0,0.03
ft_24_heading_source,0.0,0.0,0.01,0.0,0.0,0.0,0.26,0.02,0.0,0.03
ft_24_heading_source,0.0,0.0,0.01,0.0,0.0,0.0,0.26,0.02,0.0,0.03
ft_24_heading_source,0.0,0.0,0.01,0.0,0.0,0.0,0.26,0.02,0.0,0.03
ft_25_authority_record_control_num,0.05,0.06,0.28,0.0,0.0,0.0,0.53,0.03,0.0,0.11
ft_25_authority_record_control_num,0.05,0.06,0.28,0.0,0.0,0.0,0.53,0.03,0.0,0.11
ft_25_authority_record_control_num,0.05,0.06,0.28,0.0,0.0,0.0,0.53,0.03,0.0,0.11
ft_25_authority_record_control_num,0.05,0.06,0.28,0.0,0.0,0.0,0.53,0.03,0.0,0.11
ft_25_authority_record_control_num,0.05,0.06,0.28,0.0,0.0,0.0,0.53,0.03,0.0,0.11
ft_26_geographical_subdivision,0.0,0.0,0.03,0.0,0.0,0.0,0.8,0.01,0.0,0.09
ft_26_geographical_subdivision,0.0,0.0,0.03,0.0,0.0,0.0,0.8,0.01,0.0,0.09
ft_26_geographical_subdivision,0.0,0.0,0.03,0.0,0.0,0.0,0.8,0.01,0.0,0.09
ft_26_geographical_subdivision,0.0,0.0,0.03,0.0,0.0,0.0,0.8,0.01,0.0,0.09
ft_26_geographical_subdivision,0.0,0.0,0.03,0.0,0.0,0.0,0.8,0.01,0.0,0.09
ft_27_geo_name,0.0,0.0,0.03,0.0,0.03,0.0,0.83,0.01,0.0,0.1
ft_27_geo_name,0.0,0.0,0.03,0.0,0.03,0.0,0.83,0.01,0.0,0.1
ft_27_geo_name,0.0,0.0,0.03,0.0,0.03,0.0,0.83,0.01,0.0,0.1
ft_27_geo_name,0.0,0.0,0.03,0.0,0.03,0.0,0.83,0.01,0.0,0.1
ft_27_geo_name,0.0,0.0,0.03,0.0,0.03,0.0,0.83,0.01,0.0,0.1
ft_28_geo_source_of_headingwterm,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.02
ft_28_geo_source_of_headingwterm,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.02
ft_28_geo_source_of_headingwterm,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.02
ft_28_geo_source_of_headingwterm,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.02
ft_28_geo_source_of_headingwterm,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.02
ft_29_geo_arn,0.0,0.0,0.03,0.0,0.0,0.0,0.28,0.04,0.0,0.04
ft_29_geo_arn,0.0,0.0,0.03,0.0,0.0,0.0,0.28,0.04,0.0,0.04
ft_29_geo_arn,0.0,0.0,0.03,0.0,0.0,0.0,0.28,0.04,0.0,0.04
ft_29_geo_arn,0.0,0.0,0.03,0.0,0.0,0.0,0.28,0.04,0.0,0.04
ft_29_geo_arn,0.0,0.0,0.03,0.0,0.0,0.0,0.28,0.04,0.0,0.04
ft_2_physical_desc,0.01,0.04,0.08,0.0,0.02,0.0,0.72,0.02,0.0,0.1
ft_2_physical_desc,0.01,0.04,0.08,0.0,0.02,0.0,0.72,0.02,0.0,0.1
ft_2_physical_desc,0.01,0.04,0.08,0.0,0.02,0.0,0.72,0.02,0.0,0.1
ft_2_physical_desc,0.01,0.04,0.08,0.0,0.02,0.0,0.72,0.02,0.0,0.1
ft_2_physical_desc,0.01,0.04,0.08,0.0,0.02,0.0,0.72,0.02,0.0,0.1
ft_30_genre,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0
ft_31_host_item,0.0,0.58,0.21,0.0,0.0,0.0,0.43,0.12,0.0,0.15
ft_31_host_item,0.0,0.58,0.21,0.0,0.0,0.0,0.43,0.12,0.0,0.15
ft_31_host_item,0.0,0.58,0.21,0.0,0.0,0.0,0.43,0.12,0.0,0.15
ft_31_host_item,0.0,0.58,0.21,0.0,0.0,0.0,0.43,0.12,0.0,0.15
ft_31_host_item,0.0,0.58,0.21,0.0,0.0,0.0,0.43,0.12,0.0,0.15
ft_32_series_title,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.01,0.0,0.01
ft_32_series_title,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.01,0.0,0.01
ft_32_series_title,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.01,0.0,0.01
ft_32_series_title,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.01,0.0,0.01
ft_32_series_title,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.01,0.0,0.01
ft_33_series_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06
ft_33_series_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06
ft_33_series_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06
ft_33_series_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06
ft_33_series_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06
ft_34_form_data,0.02,0.0,0.21,0.0,0.0,0.0,0.24,0.0,0.0,0.05
ft_34_form_data,0.02,0.0,0.21,0.0,0.0,0.0,0.24,0.0,0.0,0.05
ft_34_form_data,0.02,0.0,0.21,0.0,0.0,0.0,0.24,0.0,0.0,0.05
ft_34_form_data,0.02,0.0,0.21,0.0,0.0,0.0,0.24,0.0,0.0,0.05
ft_34_form_data,0.02,0.0,0.21,0.0,0.0,0.0,0.24,0.0,0.0,0.05
ft_35_source_of_term,0.01,0.18,0.2,0.0,0.0,0.0,0.38,0.02,0.0,0.09
ft_35_source_of_term,0.01,0.18,0.2,0.0,0.0,0.0,0.38,0.02,0.0,0.09
ft_35_source_of_term,0.01,0.18,0.2,0.0,0.0,0.0,0.38,0.02,0.0,0.09
ft_35_source_of_term,0.01,0.18,0.2,0.0,0.0,0.0,0.38,0.02,0.0,0.09
ft_35_source_of_term,0.01,0.18,0.2,0.0,0.0,0.0,0.38,0.02,0.0,0.09
ft_36_index_arn,0.01,0.01,0.2,0.0,0.0,0.0,0.23,0.04,0.0,0.05
ft_36_index_arn,0.01,0.01,0.2,0.0,0.0,0.0,0.23,0.04,0.0,0.05
ft_36_index_arn,0.01,0.01,0.2,0.0,0.0,0.0,0.23,0.04,0.0,0.05
ft_36_index_arn,0.01,0.01,0.2,0.0,0.0,0.0,0.23,0.04,0.0,0.05
ft_36_index_arn,0.01,0.01,0.2,0.0,0.0,0.0,0.23,0.04,0.0,0.05
ft_3_place,0.02,0.0,0.17,0.0,0.0,0.0,0.58,0.12,0.0,0.1
ft_3_place,0.02,0.0,0.17,0.0,0.0,0.0,0.58,0.12,0.0,0.1
ft_3_place,0.02,0.0,0.17,0.0,0.0,0.0,0.58,0.12,0.0,0.1
ft_3_place,0.02,0.0,0.17,0.0,0.0,0.0,0.58,0.12,0.0,0.1
ft_3_place,0.02,0.0,0.17,0.0,0.0,0.0,0.58,0.12,0.0,0.1
ft_4_language,0.0,0.0,0.01,0.0,0.0,0.0,0.61,0.14,0.0,0.08
ft_4_language,0.0,0.0,0.01,0.0,0.0,0.0,0.61,0.14,0.0,0.08
ft_4_language,0.0,0.0,0.01,0.0,0.0,0.0,0.61,0.14,0.0,0.08
ft_5_catalogue_source,0.09,0.14,0.28,0.0,0.0,0.0,0.47,0.03,0.0,0.11
ft_8_personal_name,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.06,0.0,0.06
ft_8_personal_name,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.06,0.0,0.06
ft_8_personal_name,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.06,0.0,0.06
ft_8_personal_name,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.06,0.0,0.06
ft_8_personal_name,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.06,0.0,0.06
ft_9_relation,0.0,0.01,0.12,0.0,0.0,0.0,0.82,0.01,0.0,0.11
ft_9_relation,0.0,0.01,0.12,0.0,0.0,0.0,0.82,0.01,0.0,0.11
