,Corr.,ExtraTrees,KBest,Lasso,Linear reg,RF,RFE,Ridge,Stability,Mean
ft_04_lccn,0,0,0,0,0.82,0,0.78,0,0,0.18
ft_21_carrier_code,0.07,0.47,0.24,0,0.02,0,0.82,0.02,0,0.18
ft_21_carrier_code,0.07,0.47,0.24,0,0.02,0,0.82,0.02,0,0.18
ft_21_carrier_code,0.07,0.47,0.24,0,0.02,0,0.82,0.02,0,0.18
ft_21_carrier_code,0.07,0.47,0.24,0,0.02,0,0.82,0.02,0,0.18
ft_21_carrier_code,0.07,0.47,0.24,0,0.02,0,0.82,0.02,0,0.18
ft_20_media_source,0.02,0.18,0.21,0,0.07,0,0.82,0.01,0,0.15
ft_20_media_source,0.02,0.18,0.21,0,0.07,0,0.82,0.01,0,0.15
ft_20_media_source,0.02,0.18,0.21,0,0.07,0,0.82,0.01,0,0.15
ft_20_media_source,0.02,0.18,0.21,0,0.07,0,0.82,0.01,0,0.15
ft_20_media_source,0.02,0.18,0.21,0,0.07,0,0.82,0.01,0,0.15
ft_19_media_type_term,0.03,0,0.13,0,0.09,0,0.93,0.06,0,0.14
ft_19_media_type_term,0.03,0,0.13,0,0.09,0,0.93,0.06,0,0.14
ft_19_media_type_term,0.03,0,0.13,0,0.09,0,0.93,0.06,0,0.14
ft_19_media_type_term,0.03,0,0.13,0,0.09,0,0.93,0.06,0,0.14
ft_19_media_type_term,0.03,0,0.13,0,0.09,0,0.93,0.06,0,0.14
ft_18_media_code,0,0,0,0,0.19,0,1,0,0,0.13
ft_18_media_code,0,0,0,0,0.19,0,1,0,0,0.13
ft_18_media_code,0,0,0,0,0.19,0,1,0,0,0.13
ft_18_media_code,0,0,0,0,0.19,0,1,0,0,0.13
ft_18_media_code,0,0,0,0,0.19,0,1,0,0,0.13
ft_29_geo_arn,0,0,0.01,0,0.1,0,1,0.03,0,0.13
ft_29_geo_arn,0,0,0.01,0,0.1,0,1,0.03,0,0.13
ft_29_geo_arn,0,0,0.01,0,0.1,0,1,0.03,0,0.13
ft_29_geo_arn,0,0,0.01,0,0.1,0,1,0.03,0,0.13
ft_29_geo_arn,0,0,0.01,0,0.1,0,1,0.03,0,0.13
ft_15_content_code,0.06,0,0.02,0,0.08,0,0.9,0.04,0,0.12
ft_15_content_code,0.06,0,0.02,0,0.08,0,0.9,0.04,0,0.12
ft_15_content_code,0.06,0,0.02,0,0.08,0,0.9,0.04,0,0.12
ft_15_content_code,0.06,0,0.02,0,0.08,0,0.9,0.04,0,0.12
ft_15_content_code,0.06,0,0.02,0,0.08,0,0.9,0.04,0,0.12
ft_17_content_source,0,0,0,0,0.01,0,1,0.03,0,0.12
ft_17_content_source,0,0,0,0,0.01,0,1,0.03,0,0.12
ft_17_content_source,0,0,0,0,0.01,0,1,0.03,0,0.12
ft_17_content_source,0,0,0,0,0.01,0,1,0.03,0,0.12
ft_17_content_source,0,0,0,0,0.01,0,1,0.03,0,0.12
ft_24_heading_source,0,0,0,0,0.08,0,0.98,0.03,0,0.12
ft_24_heading_source,0,0,0,0,0.08,0,0.98,0.03,0,0.12
ft_24_heading_source,0,0,0,0,0.08,0,0.98,0.03,0,0.12
ft_24_heading_source,0,0,0,0,0.08,0,0.98,0.03,0,0.12
ft_24_heading_source,0,0,0,0,0.08,0,0.98,0.03,0,0.12
ft_36_index_arn,0.02,0.01,0.07,0,0.03,0,0.97,0.02,0,0.12
ft_36_index_arn,0.02,0.01,0.07,0,0.03,0,0.97,0.02,0,0.12
ft_36_index_arn,0.02,0.01,0.07,0,0.03,0,0.97,0.02,0,0.12
ft_36_index_arn,0.02,0.01,0.07,0,0.03,0,0.97,0.02,0,0.12
ft_36_index_arn,0.02,0.01,0.07,0,0.03,0,0.97,0.02,0,0.12
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_13_publisher_name,0,0,0.03,0,0,0.01,0.71,0.26,0,0.11
ft_16_content_type_term,0,0,0,0,0.17,0,0.84,0.02,0,0.11
ft_16_content_type_term,0,0,0,0,0.17,0,0.84,0.02,0,0.11
ft_16_content_type_term,0,0,0,0,0.17,0,0.84,0.02,0,0.11
ft_16_content_type_term,0,0,0,0,0.17,0,0.84,0.02,0,0.11
ft_16_content_type_term,0,0,0,0,0.17,0,0.84,0.02,0,0.11
ft_25_authority_record_control_num,0.01,0,0.06,0,0.06,0,0.87,0.01,0,0.11
ft_25_authority_record_control_num,0.01,0,0.06,0,0.06,0,0.87,0.01,0,0.11
ft_25_authority_record_control_num,0.01,0,0.06,0,0.06,0,0.87,0.01,0,0.11
ft_25_authority_record_control_num,0.01,0,0.06,0,0.06,0,0.87,0.01,0,0.11
ft_25_authority_record_control_num,0.01,0,0.06,0,0.06,0,0.87,0.01,0,0.11
ft_31_host_item,0,0,0.75,0,0,0,0.18,0.04,0,0.11
ft_31_host_item,0,0,0.75,0,0,0,0.18,0.04,0,0.11
ft_31_host_item,0,0,0.75,0,0,0,0.18,0.04,0,0.11
ft_31_host_item,0,0,0.75,0,0,0,0.18,0.04,0,0.11
ft_31_host_item,0,0,0.75,0,0,0,0.18,0.04,0,0.11
ft_02_isbn_pubname,0.01,0,0.02,0,0.12,0,0.64,0.05,0,0.09
ft_02_isbn_pubname,0.01,0,0.02,0,0.12,0,0.64,0.05,0,0.09
ft_02_isbn_pubname,0.01,0,0.02,0,0.12,0,0.64,0.05,0,0.09
ft_02_isbn_pubname,0.01,0,0.02,0,0.12,0,0.64,0.05,0,0.09
ft_02_isbn_pubname,0.01,0,0.02,0,0.12,0,0.64,0.05,0,0.09
ft_03_isbn_countryname,0,0,0.01,0,0.03,0,0.68,0.12,0,0.09
ft_03_isbn_countryname,0,0,0.01,0,0.03,0,0.68,0.12,0,0.09
ft_03_isbn_countryname,0,0,0.01,0,0.03,0,0.68,0.12,0,0.09
ft_03_isbn_countryname,0,0,0.01,0,0.03,0,0.68,0.12,0,0.09
ft_03_isbn_countryname,0,0,0.01,0,0.03,0,0.68,0.12,0,0.09
ft_3_place,0,0,0,0,0,0,0.77,0.04,0,0.09
ft_3_place,0,0,0,0,0,0,0.77,0.04,0,0.09
ft_3_place,0,0,0,0,0,0,0.77,0.04,0,0.09
ft_3_place,0,0,0,0,0,0,0.77,0.04,0,0.09
ft_3_place,0,0,0,0,0,0,0.77,0.04,0,0.09
ft_01_isbn,0,0.01,0.2,0,0,0,0.42,0.06,0,0.08
ft_01_isbn,0,0.01,0.2,0,0,0,0.42,0.06,0,0.08
ft_01_isbn,0,0.01,0.2,0,0,0,0.42,0.06,0,0.08
ft_01_isbn,0,0.01,0.2,0,0,0,0.42,0.06,0,0.08
ft_01_isbn,0,0.01,0.2,0,0,0,0.42,0.06,0,0.08
ft_23_form_subdivision,0,0.03,0.18,0,0,0,0.36,0.06,0,0.07
ft_23_form_subdivision,0,0.03,0.18,0,0,0,0.36,0.06,0,0.07
ft_23_form_subdivision,0,0.03,0.18,0,0,0,0.36,0.06,0,0.07
ft_23_form_subdivision,0,0.03,0.18,0,0,0,0.36,0.06,0,0.07
ft_23_form_subdivision,0,0.03,0.18,0,0,0,0.36,0.06,0,0.07
ft_11_statement_of_responsibility,0.01,0.01,0.28,0,0,0,0.24,0.01,0,0.06
ft_11_statement_of_responsibility,0.01,0.01,0.28,0,0,0,0.24,0.01,0,0.06
ft_11_statement_of_responsibility,0.01,0.01,0.28,0,0,0,0.24,0.01,0,0.06
ft_11_statement_of_responsibility,0.01,0.01,0.28,0,0,0,0.24,0.01,0,0.06
ft_11_statement_of_responsibility,0.01,0.01,0.28,0,0,0,0.24,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_12_publisher_place,0.01,0,0.05,0,0,0,0.5,0.01,0,0.06
ft_34_form_data,0.03,0.03,0.2,0,0,0,0.28,0.04,0,0.06
ft_34_form_data,0.03,0.03,0.2,0,0,0,0.28,0.04,0,0.06
ft_34_form_data,0.03,0.03,0.2,0,0,0,0.28,0.04,0,0.06
ft_34_form_data,0.03,0.03,0.2,0,0,0,0.28,0.04,0,0.06
ft_34_form_data,0.03,0.03,0.2,0,0,0,0.28,0.04,0,0.06
ft_22_topical_term,0.01,0,0.1,0,0,0,0.35,0.02,0,0.05
ft_22_topical_term,0.01,0,0.1,0,0,0,0.35,0.02,0,0.05
ft_22_topical_term,0.01,0,0.1,0,0,0,0.35,0.02,0,0.05
ft_22_topical_term,0.01,0,0.1,0,0,0,0.35,0.02,0,0.05
ft_22_topical_term,0.01,0,0.1,0,0,0,0.35,0.02,0,0.05
ft_26_geographical_subdivision,0,0,0.04,0,0,0,0.35,0.02,0,0.05
ft_26_geographical_subdivision,0,0,0.04,0,0,0,0.35,0.02,0,0.05
ft_26_geographical_subdivision,0,0,0.04,0,0,0,0.35,0.02,0,0.05
ft_26_geographical_subdivision,0,0,0.04,0,0,0,0.35,0.02,0,0.05
ft_26_geographical_subdivision,0,0,0.04,0,0,0,0.35,0.02,0,0.05
ft_28_geo_source_of_headingwterm,0,0,0,0,0.13,0,0.29,0,0,0.05
ft_28_geo_source_of_headingwterm,0,0,0,0,0.13,0,0.29,0,0,0.05
ft_28_geo_source_of_headingwterm,0,0,0,0,0.13,0,0.29,0,0,0.05
ft_28_geo_source_of_headingwterm,0,0,0,0,0.13,0,0.29,0,0,0.05
ft_28_geo_source_of_headingwterm,0,0,0,0,0.13,0,0.29,0,0,0.05
ft_27_geo_name,0,0,0.06,0,0,0,0.25,0.03,0,0.04
ft_27_geo_name,0,0,0.06,0,0,0,0.25,0.03,0,0.04
ft_27_geo_name,0,0,0.06,0,0,0,0.25,0.03,0,0.04
ft_27_geo_name,0,0,0.06,0,0,0,0.25,0.03,0,0.04
ft_27_geo_name,0,0,0.06,0,0,0,0.25,0.03,0,0.04
ft_32_series_title,0,0,0.09,0,0,0,0.15,0.01,0,0.03
ft_32_series_title,0,0,0.09,0,0,0,0.15,0.01,0,0.03
ft_32_series_title,0,0,0.09,0,0,0,0.15,0.01,0,0.03
ft_32_series_title,0,0,0.09,0,0,0,0.15,0.01,0,0.03
ft_32_series_title,0,0,0.09,0,0,0,0.15,0.01,0,0.03
ft_8_personal_name,0,0.01,0,0,0,0,0.24,0,0,0.03
ft_8_personal_name,0,0.01,0,0,0,0,0.24,0,0,0.03
ft_8_personal_name,0,0.01,0,0,0,0,0.24,0,0,0.03
ft_8_personal_name,0,0.01,0,0,0,0,0.24,0,0,0.03
ft_8_personal_name,0,0.01,0,0,0,0,0.24,0,0,0.03
ft_2_physical_desc,0,0,0.01,0,0,0,0.17,0,0,0.02
ft_2_physical_desc,0,0,0.01,0,0,0,0.17,0,0,0.02
ft_2_physical_desc,0,0,0.01,0,0,0,0.17,0,0,0.02
ft_2_physical_desc,0,0,0.01,0,0,0,0.17,0,0,0.02
ft_2_physical_desc,0,0,0.01,0,0,0,0.17,0,0,0.02
ft_30_genre,0,0,0,0,0.02,0,0.13,0,0,0.02
ft_30_genre,0,0,0,0,0.02,0,0.13,0,0,0.02
ft_30_genre,0,0,0,0,0.02,0,0.13,0,0,0.02
ft_30_genre,0,0,0,0,0.02,0,0.13,0,0,0.02
ft_30_genre,0,0,0,0,0.02,0,0.13,0,0,0.02
ft_33_series_volume,0,0,0.01,0,0,0,0.19,0,0,0.02
ft_33_series_volume,0,0,0.01,0,0,0,0.19,0,0,0.02
ft_33_series_volume,0,0,0.01,0,0,0,0.19,0,0,0.02
ft_33_series_volume,0,0,0.01,0,0,0,0.19,0,0,0.02
ft_33_series_volume,0,0,0.01,0,0,0,0.19,0,0,0.02
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_10_title,0,0,0.02,0,0,0,0.1,0.01,0,0.01
ft_14_publication_date,0,0,0,0,0,0,0.07,0,0,0.01
ft_35_source_of_term,0,0,0,0,0,0,0.04,0,0,0
ft_35_source_of_term,0,0,0,0,0,0,0.04,0,0,0
ft_35_source_of_term,0,0,0,0,0,0,0.04,0,0,0
ft_35_source_of_term,0,0,0,0,0,0,0.04,0,0,0
ft_35_source_of_term,0,0,0,0,0,0,0.04,0,0,0
ft_4_language,0,0,0,0,0,0,0.01,0,0,0
ft_4_language,0,0,0,0,0,0,0.01,0,0,0
ft_4_language,0,0,0,0,0,0,0.01,0,0,0
ft_4_language,0,0,0,0,0,0,0.01,0,0,0
ft_4_language,0,0,0,0,0,0,0.01,0,0,0
ft_5_catalogue_source,0,0,0,0,0,0,0.01,0,0,0
ft_5_catalogue_source,0,0,0,0,0,0,0.01,0,0,0
ft_5_catalogue_source,0,0,0,0,0,0,0.01,0,0,0
ft_5_catalogue_source,0,0,0,0,0,0,0.01,0,0,0
ft_5_catalogue_source,0,0,0,0,0,0,0.01,0,0,0
ft_9_relation,0,0,0,0,0,0,0,0,0,0
ft_9_relation,0,0,0,0,0,0,0,0,0,0
ft_9_relation,0,0,0,0,0,0,0,0,0,0
ft_9_relation,0,0,0,0,0,0,0,0,0,0
ft_9_relation,0,0,0,0,0,0,0,0,0,0
